,UNITID,NAME,CITY,STATE,ZIP,REGION,LOCALE,COSTT4_A,NPT4_PRIV,DEBT_MDN,FAMINC,ADM_RATE,SAT_AVG,UGDS,RET_FT4_POOLED,UGDS_WHITE,COST_CATEGORY
0,100690,Amridge University,Montgomery,AL,36117-3553,5,12.0,17680.0,15322.0,10500.0,21079.472973,,,351.0,0.2143,0.2393,Lower cost
1,100937,Birmingham-Southern College,Birmingham,AL,35254,5,12.0,52176.0,25494.0,18500.0,86672.871041,0.5666,1232.0,1265.0,0.7769,0.7858,Middle cost
2,101189,Faulkner University,Montgomery,AL,36109-3390,5,12.0,33944.0,25557.0,14925.0,36952.206116,0.5227,1069.0,2079.0,0.5611,0.4238,Middle cost
3,101365,Herzing University-Birmingham,Birmingham,AL,35209,5,21.0,26128.0,17906.0,12233.0,26184.228503,0.95,,544.0,0.5,0.2813,Middle cost
4,101435,Huntingdon College,Montgomery,AL,36106-2148,5,12.0,35685.0,20136.0,16250.0,53792.633136,0.5841,1100.0,1078.0,0.6602,0.6503,Middle cost
5,101541,Judson College,Marion,AL,36756,5,43.0,31735.0,16619.0,14112.0,28123.817955,0.482,1054.0,259.0,0.5973,0.6988,Middle cost
6,101675,Miles College,Fairfield,AL,35064-2621,5,21.0,22828.0,15248.0,15814.0,23637.283898,,,1546.0,0.5184,0.033,Middle cost
7,101693,University of Mobile,Mobile,AL,36613-2842,5,41.0,35463.0,14611.0,19740.0,53850.791005,0.4704,1094.0,1294.0,0.7216,0.5796,Middle cost
8,101912,Oakwood University,Huntsville,AL,35896,5,12.0,36361.0,26293.0,19500.0,50868.943834,0.6589,999.0,1569.0,0.7063,0.0057,Middle cost
9,102049,Samford University,Birmingham,AL,35229-2240,5,21.0,46474.0,29207.0,17096.0,108313.94042,0.8208,1228.0,3524.0,0.8861,0.851,Middle cost
10,102058,Selma University,Selma,AL,36701,5,32.0,15822.0,13037.0,9500.0,16153.155932,,,304.0,0.3263,0.0197,Lower cost
11,102234,Spring Hill College,Mobile,AL,36608-1791,5,12.0,51969.0,19718.0,18270.0,79894.033639,0.6577,1130.0,1252.0,0.7535,0.6637,Middle cost
12,102270,Stillman College,Tuscaloosa,AL,35401,5,12.0,21314.0,13857.0,14640.0,27754.87695,0.3859,,689.0,0.5967,0.0566,Middle cost
13,102298,Talladega College,Talladega,AL,35160,5,32.0,22514.0,16386.0,16000.0,27002.32377,,,1208.0,0.6923,0.0281,Middle cost
14,102377,Tuskegee University,Tuskegee,AL,36088-1920,5,32.0,39383.0,35353.0,19500.0,50928.444106,0.5182,1119.0,2529.0,0.6935,0.004,Middle cost
15,102580,Alaska Bible College,Palmer,AK,99645,8,32.0,24759.0,20066.0,,52437.533333,,,37.0,0.6154,0.8919,Middle cost
16,102669,Alaska Pacific University,Anchorage,AK,99508,8,11.0,34990.0,20717.0,14307.0,59045.794521,0.8425,,283.0,0.7971,0.4558,Middle cost
